收集时间: 2015-07-14 01:51:36.354113 +0800 CST => 2015-07-10 00:00:00 +0800 CST

tid: 3892396753,作者: 我爸名字叫上帝,标题: 作为一名走水路的一名军人，我决定我们水路军进击钓鱼岛坐等小日本
时间: %s,2015-07-12 19:43:49,摘要: [#文字:  如图用那个？ 那个TU不管用 附件也不管 图片也不管 怎么破? ]

tid: 3889347056,作者: 天闪12345,标题: ★我的世界★Minecraft《地球都市服务器 老牛的空军的空军基地》
时间: %s,2015-07-12 19:43:40,摘要: [#文字: 你的鼓励就是我的动力！; #视频: (%s)http://v.youku.com/v_show/id_XOTYxNzQwMDA4.html?from=y1.7-2]

tid: 3889346752,作者: 魔瞳心魂,标题: 【提问】这个是鸡骑士？
时间: %s,2015-07-12 19:43:30,摘要: [#文字: 骑牛的小僵尸是什么鬼，生存里遇到的，没有任何mod。 ; #图片: http://imgsrc.baidu.com/forum/pic/item/8e3cf854564e925806c3afd89a82d158ccbf4e34.jpg]

tid: 3889346546,作者: 黑管nice,标题: 不夜城，新手勿喷，建设中
时间: %s,2015-07-12 19:43:24,摘要: [#文字: 不夜城，新手勿喷，建设中]

tid: 3889340737,作者: 天闪12345,标题: 【老牛解说】★我的世界★Minecraft 《老牛的新舰港服务器生存》
时间: %s,2015-07-12 19:40:27,摘要: [#文字: 喜欢就订阅吧 你的鼓励就是我的动力; #视频: (%s)http://v.youku.com/v_show/id_XOTM2MDI4OTAw.html?from=y1.7-2]

tid: 3889339924,作者: 我是新人别看我,标题: [求助]  mcbbs 到底哪里发服务器帖子图片?
时间: %s,2015-07-12 19:40:02,摘要: [#文字: 如题 为什么我用附件 和图片 上传不了？ 怎么 用? 求助大神啊！]

tid: 3889337213,作者: 天闪12345,标题: 【老牛解说】★我的世界★Minecraft 《老牛的新舰港》
时间: %s,2015-07-12 19:38:40,摘要: [#文字: 喜欢 就订阅吧 你的鼓励就是我的动力！; #视频: (%s)http://v.youku.com/v_show/id_XOTMyMzkzODI4.html?from=y1.7-2]

tid: 3889333821,作者: 倾城空心,标题: 人品大爆发啊 钓鱼钓了个无限弓
时间: %s,2015-07-12 19:36:57,摘要: [#文字: 太感动了 ; #图片: http://imgsrc.baidu.com/forum/pic/item/cb174b061d950a7b556c62f20cd162d9f2d3c94e.jpg]

tid: 3889330316,作者: power_mi,标题: 新人
时间: %s,2015-07-12 19:35:08,摘要: [#文字: 我玩的单人游戏，话说怎么开放局域网联机玩啊 女神镇楼 ; #图片: http://imgsrc.baidu.com/forum/pic/item/35a8f5a20cf431ad62336e0f4d36acaf2fdd98c6.jpg]

tid: 3889329713,作者: 拾年_长白山,标题: 求各位大神教我怎么下我的世界。
时间: %s,2015-07-12 19:34:48,摘要: [#文字: 由于同学一直在玩，看得心里痒。但又不知怎么下。求各位大神教教，传授一下技能。]

tid: 3889327951,作者: 蛇小安,标题: 小安的极疯界生存
时间: %s,2015-07-12 19:33:54,摘要: [#文字: HIM大叔镇楼; #图片: http://imgsrc.baidu.com/forum/pic/item/2099ec177f3e67093c4367c93dc79f3df8dc5560.jpg]

tid: 3889326721,作者: 夜の残梦,标题: 问下，1.86版本用1.8版本的史莱姆区块计算器行吗
时间: %s,2015-07-12 19:33:16,摘要: [#文字: 我找不到1.86版本的计算器，只找到1.8的，如果不能，求大神告诉我一个可用的计算器地址]

tid: 3889326604,作者: 叶黎芬问,标题: 新人求解
时间: %s,2015-07-12 19:33:12,摘要: [#文字: 怎么回事啊点启动就这样; #图片: http://imgsrc.baidu.com/forum/pic/item/af2b119b033b5bb5477502c830d3d539b600bc01.jpg]

tid: 3889326375,作者: 小小夜咯咯,标题: 让你们看看什么叫谋杀新手
时间: %s,2015-07-12 19:33:04,摘要: [#图片: http://imgsrc.baidu.com/forum/pic/item/560c56f082025aaf8c7a5cfdfdedab64034f1a5e.jpg]

tid: 3889325684,作者: qwedsarf12,标题: 【红石教程】超简易抽奖机！【有福利哦】
时间: %s,2015-07-12 19:32:41,摘要: [#文字:  镇楼; #图片: http://imgsrc.baidu.com/forum/pic/item/9cca886eddc451da91ee2eddb0fd5266d016328e.jpg; #图片: http://imgsrc.baidu.com/forum/pic/item/2a54f41373f082027de9b3094dfbfbedab641baf.jpg; #图片: http://imgsrc.baidu.com/forum/pic/item/1547f409b3de9c820e1edbb96a81800a19d843a8.jpg; #图片: http://imgsrc.baidu.com/forum/pic/item/24d359d98d1001e98a493639be0e7bec54e797aa.jpg]

tid: 3889323219,作者: 心里微笑就好,标题: (光影问题)请各位大神帮忙解决!>!!!!
时间: %s,2015-07-12 19:31:25,摘要: [#文字: 本人已经试过各种版本光影..无法解决..; #图片: http://imgsrc.baidu.com/forum/pic/item/17f053c6a7efce1b5bc1ebfca951f3deb48f6539.jpg]

tid: 3889322034,作者: 诶啊哦哈哈,标题: 求一个mod
时间: %s,2015-07-12 19:30:49,摘要: [#文字: 就是你再跑后面有一个彩虹跟着你 籽岷介绍过的]

tid: 3889319944,作者: 524831621,标题: 请问现在还有活着的群峦服务器吗？
时间: %s,2015-07-12 19:29:42,摘要: [#文字: 满怀希望的打开了mcbbs和服务器吧 然后翻了半小时还没发现一个群峦服，难道因为抖M没了都关服了？ 求个群峦服务器，求到了自删，吧务留情。]

tid: 3889319328,作者: 783833062,标题: 煎饼果子服务器的历史第三期
时间: %s,2015-07-12 19:29:22,摘要: [#文字: PS:这不是不是不是服务器宣传贴，里面的内容还是很丰富的，只是我们对现在服务器的一个总结和回顾，请求吧务勿删; #图片: http://imgsrc.baidu.com/forum/pic/item/001e848b87d6277fceb3120e2e381f30e924fc06.jpg]

tid: 3889314069,作者: 13757086157,标题: 刚刚弄了大半天，总感觉哪里不对
时间: %s,2015-07-12 19:26:37,摘要: [#文字:  本来只是想做一个标志性建筑的，然后就变成了这样; #图片: http://imgsrc.baidu.com/forum/pic/item/140c957eca806538aff3852591dda144ad34828e.jpg; #图片: http://imgsrc.baidu.com/forum/pic/item/561f9fa1cd11728b4639ad14cefcc3cec3fd2c8a.jpg; #图片: http://imgsrc.baidu.com/forum/pic/item/ba7270fbb2fb43161f005b4c26a4462309f7d38c.jpg]

tid: 3889313519,作者: 651547166,标题: 【Blade Kingdom Studio】[Sunny Plains]By：Blade_Knight
时间: %s,2015-07-12 19:26:20,摘要: [#文字: 大家好，我是Blade Kingdom工作室的室长Blade_Knight，今天带来的是我与另一位成员Kunper的合作作品。本作是一个小型跑酷，主要是以“清新”为主（= =; #图片: http://imgsrc.baidu.com/forum/pic/item/bd3608f5e0fe992569df4f6632a85edf8cb171d0.jpg]

tid: 3889312295,作者: 困偷偷www,标题: 我是新手，问一下，刚进去服务器
时间: %s,2015-07-12 19:25:42,摘要: [#文字: 我是新手，问一下，刚进去服务器让输入ID，ID是什么呀？怎么弄了？还有我好像不能发话，怎么回事了？请懂得人告一下，先谢谢了。]

tid: 3889311912,作者: Q75900374,标题: 招聘打字员
时间: %s,2015-07-12 19:25:29,摘要: [#文字: 一楼留度娘 1000字十五元 留扣扣]

tid: 3889310491,作者: ZXSHI38,标题: 有谁在玩PC版我的世界吗？
时间: %s,2015-07-12 19:24:44,摘要: [#文字: 今天刚开始玩想找位大神请教一下 ; #图片: http://imgsrc.baidu.com/forum/pic/item/6ce73f4c510fd9f95d83735f232dd42a2834a40b.jpg]

tid: 3889310475,作者: 暗影百合樱,标题: 【新人】问个问题
时间: %s,2015-07-12 19:24:44,摘要: [#文字: 塞尔达版本的MC去哪里下载？就是B站里面大Pi玩的那个，我在贴吧里找不到，百度也没有。 玩了个英文版的感觉好痛苦。。。 炮姐镇楼 ; #图片: http://imgsrc.baidu.com/forum/pic/item/5adb74da81cb39dba0544160d6160924ab18300a.jpg]

tid: 3889307904,作者: _Panda__Hero_,标题: 『预计火星』从MCFORUM得到的1.9信息
时间: %s,2015-07-12 19:23:27,"摘要: [#文字: 1.9 Info: The End: Ender Dragon fight to be massively overhauled, changed to be the same as console edition fight; some obsidian pillars hav]"

tid: 3889306130,作者: 沫情year,标题: 谁有1.7.2的服务器作弊MOD
时间: %s,2015-07-12 19:22:31,摘要: [#文字: 我们服务器有反作弊，用XR飞10秒就会被弹，求一个好用的]

tid: 3889303967,作者: whykk0,标题: 【工作室招募】
时间: %s,2015-07-12 19:21:23,摘要: [#文字: 飞鸟工作室急于招募，人数不限，招募设计师，建图师和编剧，PC版和PE版都行，快来加入吧。]

tid: 3889287607,作者: 上课小动作_,标题: 求个死亡掉落的服务器
时间: %s,2015-07-12 19:12:52,摘要: [#文字: 如题，跪求]

tid: 3889286241,作者: 优哥819,标题: MC皮肤站
时间: %s,2015-07-12 19:12:11,摘要: [#文字: MC皮肤站怎么进不去啊0.0]

tid: 3889278768,作者: mmmmxo,标题: 为什么装mod之后游戏打不开了？
时间: %s,2015-07-12 19:08:09,摘要: [#文字: rt！]

tid: 3889278650,作者: 阳光下的布加迪,标题: 【压榨性能】提升minecraft性能探究
时间: %s,2015-07-12 19:08:06,摘要: [#文字: 总所周知 基于JAVA的minecraft在电脑上的性能表现并不算优秀 引起众多玩家的抱怨。 游戏帧数低。卡顿。等等。。。 这一次。我将用自己的渣渣电脑来评; #图片: http://imgsrc.baidu.com/forum/pic/item/0539eafc1e178a82d036a295f003738da977e899.jpg]

tid: 3889270450,作者: o0我来打酱油0o,标题: 【求助】急！！在线等。
时间: %s,2015-07-12 19:03:46,摘要: [#文字: 1.7.2村庄MoD村民不收砖块怎么办！？漏斗试过了，没用，箱子是锁的灌不进去啊！？; #图片: http://imgsrc.baidu.com/forum/pic/item/4d9f40380cd7912327baa842ab345982b2b78049.jpg]

tid: 3889261185,作者: 一个寂寞de基佬,标题: 「求助」为什么我玩mc会卡啊。
时间: %s,2015-07-12 18:59:05,摘要: [#文字: 这是我配置图，我玩丧尸围城3开最高画质都是流畅啊，但是一玩mc就卡，特别是用了光影水反卡的一绝，有人能帮帮我么; #图片: http://imgsrc.baidu.com/forum/pic/item/6ce73f4c510fd9f940eb665f232dd42a2834a423.jpg]

tid: 3889258851,作者: TalentScout,标题: 萌新求教，mc能附几条魔啊
时间: %s,2015-07-12 18:57:56,摘要: [#文字: 用铁毡能叠加属性，那么可以叠加几条？还有附魔台的属性不想要怎么改变？各个装备和武器附什么比较好啊。。求教]

tid: 3889255737,作者: 小白爱小黑zz,标题: 怎么把地图放大弄在墙上？
时间: %s,2015-07-12 18:56:22,摘要: [#文字: 我在游戏看到别人的地图很大 既然弄在了墙上 大神们 有会弄的吗？]

tid: 3889255364,作者: 海龙之眼,标题: 求助，1.7.10的矿工天堂怎么去
时间: %s,2015-07-12 18:56:11,摘要: [#文字: 石英摆好白火没有用 ; #图片: http://imgsrc.baidu.com/forum/pic/item/3b2e796034a85edf6accce154f540923dd547567.jpg]

tid: 3889252071,作者: Al22丶ex,标题: 逗逼楼主建造城市记
时间: %s,2015-07-12 18:54:36,摘要: [#文字: 镇楼图; #图片: http://imgsrc.baidu.com/forum/pic/item/55042bf41bd5ad6efc8a55dc87cb39dbb6fd3cb7.jpg]

tid: 3889247014,作者: 呆呆的小白1,标题: 玩MC单机版被各种怪吓到，在吧里什么水平。
时间: %s,2015-07-12 18:52:11,摘要: [#文字: 开和平模式挖矿都被蝙蝠和背景音乐吓到]

tid: 3889243842,作者: 满满12366,标题: 关于CustomSteve人物不会动的问题
时间: %s,2015-07-12 18:50:41,摘要: [#文字:  我的是这样架着手的 别人是这样可萌可萌的 还有怎么近距离看人物 我的总感觉距离很远; #图片: http://imgsrc.baidu.com/forum/pic/item/5dab6fed2e738bd4d3fe8707a78b87d6267ff9cc.jpg; #图片: http://imgsrc.baidu.com/forum/pic/item/7cf28e64034f78f0b3acaec57f310a55b3191c7b.jpg]

tid: 3889241614,作者: enjoy乐维,标题: 求苹果版最新MC手机版
时间: %s,2015-07-12 18:49:39,摘要: []

tid: 3889238666,作者: 阿荣llj,标题: 我的世界服务器被熊得那些事
时间: %s,2015-07-12 18:48:15,摘要: [#文字: 大家分享一下自己的被熊的事吧，哈哈。]

tid: 3889238099,作者: 丿平静灬丶,标题: 我电脑是不是出问题了？
时间: %s,2015-07-12 18:47:59,摘要: [#文字: 如题玩MC1.7.10纯净帧数能跑到60帧 玩光影就卡死了; #图片: http://imgsrc.baidu.com/forum/pic/item/84247eb5c9ea15ce9ebf2a3cb0003af33a87b256.jpg]

tid: 3889234925,作者: 家乐明,标题: 服务器收人
时间: %s,2015-07-12 18:46:25,摘要: [#文字: 新服务器 有mods（所以需要下载我们的客户端） 群里还有机器人可以调教 还在等什么 快来加入吧 QQ群473709048 进群有客户端哦]

tid: 3889233738,作者: ﹏小杏,标题: 求救~服务器开不了~
时间: %s,2015-07-12 18:45:48,摘要: [#文字:  ; #图片: http://imgsrc.baidu.com/forum/pic/item/77001f292df5e0fe70cc42345a6034a85fdf72cb.jpg; #图片: http://imgsrc.baidu.com/forum/pic/item/e43847d0f703918fdf1cf6ff573d269758eec4d2.jpg]

tid: 3889232331,作者: 我伤心情绪低落,标题: 在服务器遇到的问题，求助一下
时间: %s,2015-07-12 18:45:04,摘要: [#文字: 很多人在这里盖了房子，然后突然就变成了图上这样，地图被覆盖掉了。我想知道是什么bug_(:з」∠)_ ; #图片: http://imgsrc.baidu.com/forum/pic/item/fcf371e736d12f2e6d40665549c2d5628535685a.jpg]

tid: 3889228618,作者: 清风星语0,标题: 1.8.5的指南针到底指向哪里？？？
时间: %s,2015-07-12 18:43:07,摘要: [#文字: 为什么我的无限指向森林里的一棵树，离我家很远，而且不是出生点。哪怕在家里重生也还是指向那里。还有我的地图显示的内容只有一小块。。。。]

tid: 3889228606,作者: 世界_沃德,标题: 转贴:《Minecraft》世界的生存服务器之V+第四集
时间: %s,2015-07-12 18:43:07,摘要: [#视频: (%s)http://v.youku.com/v_show/id_XMTI4MzE2NTU3Mg==.html]

tid: 3889227966,作者: lqooouui,标题: 【解密地图】开坑中的解密地图，欢迎大家前来尝试
时间: %s,2015-07-12 18:42:47,摘要: [#文字: 最近突然心血来潮就打算制作一下解密图，经验很少（几乎没有），这个也是这周赶出来的渣作，希望大家不嫌弃，来试一试！也可以给些建议或者意见，哪里; #图片: http://imgsrc.baidu.com/forum/pic/item/560c56f082025aafe193b1fefdedab64034f1a05.jpg; #图片: http://imgsrc.baidu.com/forum/pic/item/85175ef40ad162d9884fad2917dfa9ec8a13cd06.jpg]

tid: 3889226640,作者: s769973411,标题: 〖求助〗有人玩过音乐播放器这个mod吗
时间: %s,2015-07-12 18:42:06,摘要: [#文字: 该mod里面有音响，闪光灯，镭射之类的，但闪光灯和镭射怎么打开啊。求解]

tid: 3889223119,作者: 硫氰化铁的老巢,标题: 哪位好心的哥哥姐姐能给我个空岛生存的图啊
时间: %s,2015-07-12 18:40:09,摘要: [#文字: 我在网上找了好久都没找到]

tid: 3889215460,作者: 苍井空示录,标题: 还在为无聊的单机蛋疼么，快来参加奔跑吧MC活动！
时间: %s,2015-07-12 18:35:58,摘要: [#文字:  由斗鱼主播Eleven举办，每周日7点。 锁定http://www.douyutv.com/3320 房间号3320. 平日播生存服，周末播活动 大家踊跃参与： 粉丝群号：18914628 另; #图片: http://imgsrc.baidu.com/forum/pic/item/b2e5c3cd7b899e513312f72144a7d933c8950d02.jpg]

tid: 3889212976,作者: 逗比神经病i,标题: 欢迎广大人士加入[当LOL碰上我的世界]贴吧！
时间: %s,2015-07-12 18:34:36,摘要: [#文字: 希望我们一起玩耍，加入我们吧！希望朋友广大宣传，谢谢！ 大家都是志同道合的朋友 ， 相逢就是有缘， 朋友多交无妨 ，来吧来吧 ，都来吧 ! ; #图片: http://imgsrc.baidu.com/forum/pic/item/96c08cec8a136327e1010006978fa0ec08fac733.jpg]

tid: 3889205541,作者: 决定智障,标题: 新人报道，那个有谁能给个把我的
时间: %s,2015-07-12 18:30:48,摘要: [#文字: 新人报道，那个有谁能给个把我的世界开到很高材质的电脑配置，差不多不超3000的台式，非常感谢 士官长镇楼 ; #图片: http://imgsrc.baidu.com/forum/pic/item/4c0c6c540923dd54aa0f675dd709b3de9c8248a3.jpg]

tid: 3889199403,作者: 环保猫猫,标题: 【重开】图楼。不知道有人看没我就慢慢更
时间: %s,2015-07-12 18:27:37,摘要: [#文字: 上一个被我删了......总之手绘多一点.......啊.......(´･_･`)Herobrine镇楼; #图片: http://imgsrc.baidu.com/forum/pic/item/cb174b061d950a7b7f6688f10cd162d9f2d3c950.jpg]

tid: 3889197466,作者: 神的心在滴血,标题: 【新人求助】mc1.8的守卫者刷怪塔怎么做的
时间: %s,2015-07-12 18:26:42,摘要: [#文字: 表示楼主要在服务器里做有人做了但是不愿意教我。。。求教'不要那种很多漏斗的楼主会破产，还有放不了漏斗矿车。。。就用9个漏斗那种的，但是个人不会]

tid: 3889192759,作者: AF前缀,标题: 为什么我的世界服务器会出现无法连接至服务器？
时间: %s,2015-07-12 18:24:23,摘要: []

tid: 3889189699,作者: shenglong龙,标题: 【ヤ宅乐ら】Minecraft我的世界——联机梦实现！基友你没事吧？
时间: %s,2015-07-12 18:22:51,摘要: [#视频: (%s)http://v.youku.com/v_show/id_XMTI4MzE0OTg4MA==.html?from=y1.7-1.2]

tid: 3889186576,作者: Feel_lost掳,标题: 〖新人准备入正〗
时间: %s,2015-07-12 18:21:19,摘要: [#文字: 新人准备入正，但是不知道怎么入，同学告我在淘宝上就可以，但没有淘宝号和银行卡，除淘宝外还有什么渠道可以入正，求大神告知]

tid: 3889186536,作者: 素质借号,标题: 问个问题
时间: %s,2015-07-12 18:21:17,摘要: [#文字: 发生存帖审核的链接是什么，求告诉]

tid: 3889185647,作者: lipeiczj19997,标题: minecraft1.8.7 进入游戏黑屏，但是有bgm
时间: %s,2015-07-12 18:20:50,摘要: [#图片: http://imgsrc.baidu.com/forum/pic/item/527da035e5dde7117a2098c3a1efce1b9d166131.jpg]

tid: 3889182743,作者: Divide_ch4,标题: 不知道微软有没有打算出引擎重置MC
时间: %s,2015-07-12 18:19:20,摘要: [#文字: 要是出了，大家会买吗]

tid: 3889176515,作者: 幻昕蓝,标题: mod安装后没有反应
时间: %s,2015-07-12 18:16:27,摘要: [#文字: 求助，游戏界面有显示，但没有效果; #图片: http://imgsrc.baidu.com/forum/pic/item/3f868c014c086e069fece67e04087bf40ad1cb5b.jpg]

tid: 3889172074,作者: 00后也不容易,标题: 我的世界纸模型大综合
